CSCO,200802041002,[24.46:1.0],[24.4:1.0],[24.39:1.0],[24.37:1.0],[24.4:1.0],[24.43:1.0],[24.44:1.0],[24.4:1.0],[24.36:1.0],[24.3:1.0],[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],Prob:1.0
MSFT,200802041008,[30.5:1.0],[30.5:1.0],[30.508:1.0],[30.54:1.0],[30.53:1.0],[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],Prob:1.0
QTWW,200802041008,[0.59:1.0],[0.55:1.0],[0.57:1.0],[0.58:1.0],[0.56:1.0],[0.5601:1.0],[0.5601:1.0],[0.57:1.0],[0.57:1.0],[0.575:1.0],[0.5749:1.0],[0.575:1.0],[0.575:1.0],[0.575:1.0],[0.57:1.0],[0.57:1.0],[0.575:1.0],[0.575:1.0],[0.575:1.0],[0.5749:1.0],Prob:1.0
CSCO,200802041009,[24.4:1.0],[24.36:1.0],[24.3:1.0],[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],[24.08:1.0],Prob:1.0
MSFT,200802041009,[30.5:1.0],[30.508:1.0],[30.54:1.0],[30.53:1.0],[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.49:1.0],Prob:1.0
QTWW,200802041009,[0.55:1.0],[0.57:1.0],[0.58:1.0],[0.56:1.0],[0.5601:1.0],[0.5601:1.0],[0.57:1.0],[0.57:1.0],[0.575:1.0],[0.5749:1.0],[0.575:1.0],[0.575:1.0],[0.575:1.0],[0.57:1.0],[0.57:1.0],[0.575:1.0],[0.575:1.0],[0.575:1.0],[0.5749:1.0],[0.575:1.0],Prob:1.0
CSCO,200802041010,[24.36:1.0],[24.3:1.0],[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],[24.08:1.0],[24.12:1.0],Prob:1.0
MSFT,200802041010,[30.508:1.0],[30.54:1.0],[30.53:1.0],[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.49:1.0],[30.49:1.0],Prob:1.0
QTWW,200802041010,[0.57:1.0],[0.58:1.0],[0.56:1.0],[0.5601:1.0],[0.5601:1.0],[0.57:1.0],[0.57:1.0],[0.575:1.0],[0.5749:1.0],[0.575:1.0],[0.575:1.0],[0.575:1.0],[0.57:1.0],[0.57:1.0],[0.575:1.0],[0.575:1.0],[0.575:1.0],[0.5749:1.0],[0.575:1.0],[0.5705:1.0],Prob:1.0
CSCO,200802041011,[24.3:1.0],[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],[24.08:1.0],[24.12:1.0],[24.16:1.0],Prob:1.0
MSFT,200802041011,[30.54:1.0],[30.53:1.0],[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.49:1.0],[30.49:1.0],[30.49:1.0],Prob:1.0
CSCO,200802041012,[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],[24.08:1.0],[24.12:1.0],[24.16:1.0],[24.16:1.0],Prob:1.0
MSFT,200802041012,[30.53:1.0],[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.49:1.0],[30.49:1.0],[30.49:1.0],[30.5:1.0],Prob:1.0
CSCO,200802041013,[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],[24.08:1.0],[24.12:1.0],[24.16:1.0],[24.16:1.0],[24.15:1.0],Prob:1.0
MSFT,200802041013,[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.49:1.0],[30.49:1.0],[30.49:1.0],[30.5:1.0],[30.49:1.0],Prob:1.0
CSCO,200802041014,[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],[24.08:1.0],[24.12:1.0],[24.16:1.0],[24.16:1.0],[24.15:1.0],[24.15:1.0],Prob:1.0
MSFT,200802041014,[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.49:1.0],[30.49:1.0],[30.49:1.0],[30.5:1.0],[30.49:1.0],[30.49:1.0],Prob:1.0
CSCO,200802041015,[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],[24.08:1.0],[24.12:1.0],[24.16:1.0],[24.16:1.0],[24.15:1.0],[24.15:1.0],[24.17:1.0],Prob:1.0
MSFT,200802041015,[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.49:1.0],[30.49:1.0],[30.49:1.0],[30.5:1.0],[30.49:1.0],[30.49:1.0],[30.52:1.0],Prob:1.0
CSCO,200802041016,[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],[24.08:1.0],[24.12:1.0],[24.16:1.0],[24.16:1.0],[24.15:1.0],[24.15:1.0],[24.17:1.0],[24.17:1.0],Prob:1.0
MSFT,200802041016,[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.49:1.0],[30.49:1.0],[30.49:1.0],[30.5:1.0],[30.49:1.0],[30.49:1.0],[30.52:1.0],[30.5:1.0],Prob:1.0
CSCO,200802041017,[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],[24.08:1.0],[24.12:1.0],[24.16:1.0],[24.16:1.0],[24.15:1.0],[24.15:1.0],[24.17:1.0],[24.17:1.0],[24.14:1.0],Prob:1.0
MSFT,200802041017,[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.49:1.0],[30.49:1.0],[30.49:1.0],[30.5:1.0],[30.49:1.0],[30.49:1.0],[30.52:1.0],[30.5:1.0],[30.5:1.0],Prob:1.0
QTWW,200802041017,[0.58:1.0],[0.56:1.0],[0.5601:1.0],[0.5601:1.0],[0.57:1.0],[0.57:1.0],[0.575:1.0],[0.5749:1.0],[0.575:1.0],[0.575:1.0],[0.575:1.0],[0.57:1.0],[0.57:1.0],[0.575:1.0],[0.575:1.0],[0.575:1.0],[0.5749:1.0],[0.575:1.0],[0.5705:1.0],[0.5705:1.0],Prob:1.0
CSCO,200802041018,[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],[24.08:1.0],[24.12:1.0],[24.16:1.0],[24.16:1.0],[24.15:1.0],[24.15:1.0],[24.17:1.0],[24.17:1.0],[24.14:1.0],[24.145:1.0],Prob:1.0
MSFT,200802041018,[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.49:1.0],[30.49:1.0],[30.49:1.0],[30.5:1.0],[30.49:1.0],[30.49:1.0],[30.52:1.0],[30.5:1.0],[30.5:1.0],[30.49:1.0],Prob:1.0
CSCO,200802041019,[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],[24.08:1.0],[24.12:1.0],[24.16:1.0],[24.16:1.0],[24.15:1.0],[24.15:1.0],[24.17:1.0],[24.17:1.0],[24.14:1.0],[24.145:1.0],[24.16:1.0],Prob:1.0
MSFT,200802041106,[30.42:1.0],[30.453:1.0],[30.4395:1.0],[30.428:1.0],[30.41:1.0],[30.41:1.0],[30.45:1.0],[30.5:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],Prob:1.0
CSCO,200802041107,[24.0289:1.0],[24.02:1.0],[23.97:1.0],[23.94:1.0],[23.97:1.0],[24.01:1.0],[23.99:1.0],[24.01:1.0],[24.0076:1.0],[24.0199:1.0],[24.01:1.0],[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],Prob:1.0
MSFT,200802041107,[30.453:1.0],[30.4395:1.0],[30.428:1.0],[30.41:1.0],[30.41:1.0],[30.45:1.0],[30.5:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],Prob:1.0
CSCO,200802041108,[24.02:1.0],[23.97:1.0],[23.94:1.0],[23.97:1.0],[24.01:1.0],[23.99:1.0],[24.01:1.0],[24.0076:1.0],[24.0199:1.0],[24.01:1.0],[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],Prob:1.0
MSFT,200802041108,[30.4395:1.0],[30.428:1.0],[30.41:1.0],[30.41:1.0],[30.45:1.0],[30.5:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],Prob:1.0
CSCO,200802041109,[23.97:1.0],[23.94:1.0],[23.97:1.0],[24.01:1.0],[23.99:1.0],[24.01:1.0],[24.0076:1.0],[24.0199:1.0],[24.01:1.0],[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],[24.02:1.0],Prob:1.0
MSFT,200802041109,[30.428:1.0],[30.41:1.0],[30.41:1.0],[30.45:1.0],[30.5:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],[30.53:1.0],Prob:1.0
CSCO,200802041110,[23.94:1.0],[23.97:1.0],[24.01:1.0],[23.99:1.0],[24.01:1.0],[24.0076:1.0],[24.0199:1.0],[24.01:1.0],[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],[24.02:1.0],[24.03:1.0],Prob:1.0
MSFT,200802041110,[30.41:1.0],[30.41:1.0],[30.45:1.0],[30.5:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],[30.53:1.0],[30.54:1.0],Prob:1.0
CSCO,200802041111,[23.97:1.0],[24.01:1.0],[23.99:1.0],[24.01:1.0],[24.0076:1.0],[24.0199:1.0],[24.01:1.0],[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],[24.02:1.0],[24.03:1.0],[24.02:1.0],Prob:1.0
MSFT,200802041111,[30.41:1.0],[30.45:1.0],[30.5:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],[30.53:1.0],[30.54:1.0],[30.53:1.0],Prob:1.0
CSCO,200802041112,[24.01:1.0],[23.99:1.0],[24.01:1.0],[24.0076:1.0],[24.0199:1.0],[24.01:1.0],[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],[24.02:1.0],[24.03:1.0],[24.02:1.0],[24.05:1.0],Prob:1.0
MSFT,200802041112,[30.45:1.0],[30.5:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],[30.53:1.0],[30.54:1.0],[30.53:1.0],[30.53:1.0],Prob:1.0
CSCO,200802041113,[23.99:1.0],[24.01:1.0],[24.0076:1.0],[24.0199:1.0],[24.01:1.0],[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],[24.02:1.0],[24.03:1.0],[24.02:1.0],[24.05:1.0],[24.04:1.0],Prob:1.0
MSFT,200802041113,[30.5:1.0],[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],[30.53:1.0],[30.54:1.0],[30.53:1.0],[30.53:1.0],[30.53:1.0],Prob:1.0
CSCO,200802041114,[24.01:1.0],[24.0076:1.0],[24.0199:1.0],[24.01:1.0],[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],[24.02:1.0],[24.03:1.0],[24.02:1.0],[24.05:1.0],[24.04:1.0],[24.04:1.0],Prob:1.0
MSFT,200802041114,[30.5:1.0],[30.5:1.0],[30.51:1.0],[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],[30.53:1.0],[30.54:1.0],[30.53:1.0],[30.53:1.0],[30.53:1.0],[30.51:1.0],Prob:1.0
QTWW,200802041114,[0.5705:1.0],[0.5705:1.0],[0.5705:1.0],[0.575:1.0],[0.5745:1.0],[0.5705:1.0],[0.5706:1.0],[0.5706:1.0],[0.5706:1.0],[0.5706:1.0],[0.5707:1.0],[0.5706:1.0],[0.5706:1.0],[0.57:1.0],[0.57:1.0],[0.57:1.0],[0.5745:1.0],[0.57:1.0],[0.57:1.0],[0.5702:1.0],Prob:1.0
CSCO,200802041115,[24.0076:1.0],[24.0199:1.0],[24.01:1.0],[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],[24.02:1.0],[24.03:1.0],[24.02:1.0],[24.05:1.0],[24.04:1.0],[24.04:1.0],[24.05:1.0],Prob:1.0
MSFT,200802041115,[30.5:1.0],[30.51:1.0],[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],[30.53:1.0],[30.54:1.0],[30.53:1.0],[30.53:1.0],[30.53:1.0],[30.51:1.0],[30.52:1.0],Prob:1.0
CSCO,200802041116,[24.0199:1.0],[24.01:1.0],[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],[24.02:1.0],[24.03:1.0],[24.02:1.0],[24.05:1.0],[24.04:1.0],[24.04:1.0],[24.05:1.0],[24.03:1.0],Prob:1.0
MSFT,200802041116,[30.51:1.0],[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],[30.53:1.0],[30.54:1.0],[30.53:1.0],[30.53:1.0],[30.53:1.0],[30.51:1.0],[30.52:1.0],[30.5:1.0],Prob:1.0
CSCO,200802041117,[24.01:1.0],[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],[24.02:1.0],[24.03:1.0],[24.02:1.0],[24.05:1.0],[24.04:1.0],[24.04:1.0],[24.05:1.0],[24.03:1.0],[24.045:1.0],Prob:1.0
MSFT,200802041117,[30.52:1.0],[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],[30.53:1.0],[30.54:1.0],[30.53:1.0],[30.53:1.0],[30.53:1.0],[30.51:1.0],[30.52:1.0],[30.5:1.0],[30.51:1.0],Prob:1.0
QTWW,200802041117,[0.5705:1.0],[0.5705:1.0],[0.575:1.0],[0.5745:1.0],[0.5705:1.0],[0.5706:1.0],[0.5706:1.0],[0.5706:1.0],[0.5706:1.0],[0.5707:1.0],[0.5706:1.0],[0.5706:1.0],[0.57:1.0],[0.57:1.0],[0.57:1.0],[0.5745:1.0],[0.57:1.0],[0.57:1.0],[0.5702:1.0],[0.5745:1.0],Prob:1.0
CSCO,200802041118,[23.98:1.0],[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],[24.02:1.0],[24.03:1.0],[24.02:1.0],[24.05:1.0],[24.04:1.0],[24.04:1.0],[24.05:1.0],[24.03:1.0],[24.045:1.0],[24.04:1.0],Prob:1.0
MSFT,200802041118,[30.52:1.0],[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],[30.53:1.0],[30.54:1.0],[30.53:1.0],[30.53:1.0],[30.53:1.0],[30.51:1.0],[30.52:1.0],[30.5:1.0],[30.51:1.0],[30.52:1.0],Prob:1.0
CSCO,200802041119,[23.98:1.0],[23.98:1.0],[23.94:1.0],[23.93:1.0],[23.9:1.0],[23.87:1.0],[23.9199:1.0],[23.9727:1.0],[23.97:1.0],[24.02:1.0],[24.03:1.0],[24.02:1.0],[24.05:1.0],[24.04:1.0],[24.04:1.0],[24.05:1.0],[24.03:1.0],[24.045:1.0],[24.04:1.0],[24.01:1.0],Prob:1.0
MSFT,200802041119,[30.59:1.0],[30.56:1.0],[30.55:1.0],[30.55:1.0],[30.55:1.0],[30.52:1.0],[30.5178:1.0],[30.52:1.0],[30.4978:1.0],[30.53:1.0],[30.54:1.0],[30.53:1.0],[30.53:1.0],[30.53:1.0],[30.51:1.0],[30.52:1.0],[30.5:1.0],[30.51:1.0],[30.52:1.0],[30.5299:1.0],Prob:1.0
